	rsid	region	chr_pos	chr_id	p_value	mapped_gene	-logp	cumulative_pos
0	rs559047	1q43	238590616	1	4e-06	KRT18P32 - NA	12.429216196844383	238590616
1	rs2990510	1q31.3	197051528	1	6e-06	F13B	12.02375108873622	197051528
2	rs2153977	1p13.2	113537449	1	4e-07	MAGI3	14.73180128983843	113537449
3	rs2358994	1p13.2	113886839	1	2e-11	AP4B1-AS1, BCL2L15	24.635288842374557	113886839
4	rs2476601	1p13.2	113834946	1	1e-07	PTPN22	16.11809565095832	113834946
5	rs1983853	1p22.3	84845509	1	2e-06	LPAR3	13.122363377404328	84845509
6	rs2269241	1p31.3	63643100	1	4e-07	PGM1	14.73180128983843	63643100
7	rs7528684	1q23.1	157701026	1	8e-09	FCRL3 - VDAC1P9	18.643824295266576	157701026
8	rs6679677	1p13.2	113761186	1	2e-06	PHTF1 - RSBN1	13.122363377404328	113761186
9	rs28600853	1p36.32	2863195	1	6e-06	TTC34 - NA	12.02375108873622	2863195
10	rs138760780	1q32.1	205515245	1	9e-06	CDK18	11.618285980628055	205515245
11	rs6691977	1q32.1	200845831	1	4e-08	CAMSAP2	17.034386382832476	200845831
12	rs3024505	1q32.1	206766559	1	6e-08	Y_RNA - IL10	16.62892127472431	206766559
13	rs17407280	1p36.12	20693912	1	7e-06	KIF17	11.86960040890896	20693912
14	rs10919543	1q23.3	161538827	1	6e-06	RPS23P10 - FCGR3A	12.02375108873622	161538827
15	rs7524087	1q32.3	212470318	1	8e-06	LINC02771	11.736069016284437	212470318
16	rs10751776	1p36.11	24970252	1	3e-08	RUNX3 - MIR4425	17.322068455284256	24970252
17	rs574384	1p34.3	35622060	1	2e-08	PSMB2	17.72753356339242	35622060
18	rs12742756	1p34.3	37881745	1	4e-08	INPP5B	17.034386382832476	37881745
19	rs855330	1p31.3	63648218	1	5e-11	PGM1	23.7189981105004	63648218
20	rs1493696	1p12	119962909	1	8e-09	NOTCH2	18.643824295266576	119962909
21	rs570794153	1q31.3	198629260	1	4e-11	ATP6V1G3 - PTPRC	23.942141661814613	198629260
22	rs12128789	1q32.3	212679490	1	4e-09	LINC02773 - BATF3	19.33697147582652	212679490
23	rs34090353	1p22.1	92358141	1	1e-08	RPAP2	18.420680743952367	92358141
24	rs2229238	1q21.3	154465420	1	1e-12	IL6R	27.631021115928547	154465420
25	rs2641348	1p12	119895261	1	2e-08	ADAM30	17.72753356339242	119895261
26	rs78037977	1q24.3	172746562	1	2e-09	FASLG - SLC25A38P1	20.030118656386467	172746562
27	rs2816313	1q31.2	192570207	1	5e-09	NA - RGS1	19.11382792451231	192570207
28	rs11120029	1q32.3	212796238	1	2e-08	TATDN3	17.72753356339242	212796238
29	rs857786	1q23.1	158815304	1	6e-09	OR10AA1P - MNDA	18.931506367718356	158815304
30	rs114721354		182869236	1	4e-08		17.034386382832476	182869236
31	rs61343935		102495801	1	3e-08		17.322068455284256	102495801
32	rs191521884		221898846	1	3e-08		17.322068455284256	221898846
33	rs559043037		78372988	1	3e-08		17.322068455284256	78372988
34	rs79236527		63633409	1	2e-08		17.72753356339242	63633409
35	rs386630424		37781423	1	6e-16		35.04960201867667	37781423
36	rs34349547		37891198	1	1e-19		43.74911676688687	37891198
37	rs998500		151853237	1	3e-08		17.322068455284256	151853237
38	rs1569836568		37812907	1	6e-14		30.444431832688586	37812907
39	rs836589	2q31.1	172628350	2	2e-06	PDK1 - RAPGEF4-AS1	13.122363377404328	1352706284
40	rs478222	2p23.3	25078886	2	4e-09	EFR3B	19.33697147582652	1205156820
41	rs6547853	2p23.2	28423934	2	8e-07	FOSL2 - PLB1	14.038654109278484	1208501868
42	rs4972593	2q31.1	173598126	2	4e-08		17.034386382832476	1353676060
43	rs3087243	2q33.2	203874196	2	8e-11	CTLA4 - ICOS	23.248994481254666	1383952130
44	rs2165738	2p23.3	24469940	2	4e-06	ITSN2 - NCOA1	12.429216196844383	1204547874
45	rs9653442	2q11.2	100208905	2	5e-06	LINC01104	12.206072645530174	1280286839
46	rs7588550	2q34	212304043	2	2e-07	ERBB4	15.424948470398375	1392381977
47	rs7583877	2q11.2	99844192	2	3e-07	AFF3	15.01948336229021	1279922126
48	rs1534422	2p24.3	12500615	2	2e-06	MIR3681HG	13.122363377404328	1192578549
49	rs1990760	2q24.2	162267541	2	7e-09	IFIH1	18.7773556878911	1342345475
50	rs181176493	2q36.1	223293148	2	2e-07	RN7SL807P - NA	15.424948470398375	1403371082
51	rs70962766	2p15	62179865	2	5e-07	COMMD1 - B3GNT2	14.508657738524219	1242257799
52	rs1344228	2q14.3	123529348	2	8e-06		11.736069016284437	1303607282
53	rs17206992	2q24.1	154368670	2	6e-06	GALNT13	12.02375108873622	1334446604
54	rs113517532	2q31.1	176780863	2	2e-06	LINC01117	13.122363377404328	1356858797
55	rs13415583	2q11.2	100147625	2	1e-07	AFF3	16.11809565095832	1280225559
56	rs4849135	2q13	110857502	2	4e-08	ACOXL	17.034386382832476	1290935436
57	rs2111485	2q24.2	162254026	2	4e-18	FAP - IFIH1	40.060237312772934	1342331960
58	rs35667974	2q24.2	162268127	2	9e-09	IFIH1	18.526041259610192	1342346061
59	rs72871627	2q24.2	162280432	2	2e-06	IFIH1	13.122363377404328	1342358366
60	rs77155259	2q24.2	161647730	2	2e-06	SLC4A10	13.122363377404328	1341725664
61	rs1881146	2p24.3	12494668	2	5e-08	MIR3681HG	16.811242831518264	1192572602
62	rs12464462	2p16.1	60409281	2	9e-10	MIR4432HG	20.82862635260424	1240487215
63	rs13018977	2q37.3	241338592	2	2e-08	SEPTIN2	17.72753356339242	1421416526
64	rs10169963	2p24.3	12512805	2	3e-08	MIR3681HG	17.322068455284256	1192590739
65	rs12712067	2q11.2	100147438	2	4e-09	AFF3	19.33697147582652	1280225372
66	rs7582694	2q32.3	191105394	2	3e-09	STAT4	19.624653548278303	1371183328
67	rs10933559	2q37.3	241468331	2	3e-11	FARP2	24.229823734266393	1421546265
68	rs555206121		217759606	2	4e-08		17.034386382832476	1397837540
69	rs896487664		25865493	2	5e-09		19.11382792451231	1205943427
70	rs34800387		137009624	2	4e-11		23.942141661814613	1317087558
71	rs520449		134538048	2	2.9999999999999997e-52		118.63581254702227	1314615982
72	rs6723108		134722410	2	3e-57		130.1487380119925	1314800344
73	rs6430545		134845031	2	1e-58		133.54993539365464	1314922965
74	rs1979033		134947988	2	4e-14		30.84989694079675	1315025922
75	rs62168795		135671796	2	6.0000000000000005e-117		267.6106964110753	1315749730
76	rs6730157		135149518	2	1e-116		267.09987078730927	1315227452
77	rs1219701875		135571320	2	7e-114		260.5487904522659	1315649254
78	rs6709525		135403522	2	2.0000000000000002e-21		47.66113977231501	1315481456
79	rs4954387		136026774	2	1e-91		209.53524346245817	1316104708
80	rs935613		135265228	2	2e-75		172.00073479399347	1315343162
81	rs28815269		136221960	2	4e-16		35.45506712678484	1316299894
82	rs1962386		41913324	2	2e-28		63.779235423273335	1221991258
83	rs185443605		25772946	2	8e-06		11.736069016284437	1205850880
84	rs185135749		60197190	2	2e-09		20.030118656386467	1240275124
85	rs842353		134585720	2	5e-10		21.416413017506358	1314663654
86	rs10171677		134688820	2	7e-12		25.685110966873236	1314766754
87	rs1375131		135197227	2	4e-22		49.270577684749114	1315275161
88	rs6739713		135731408	2	4e-14		30.84989694079675	1315809342
89	rs12465802		135623778	2	8e-23		50.88001559718322	1315701712
90	rs7570971		135080336	2	9e-23		50.76223256152683	1315158270
91	rs6735329		135516008	2	9.000000000000001e-21		46.15706237553874	1315593942
92	rs2016636		135301250	2	3e-15		33.44016410624258	1315379184
93	rs13404551		135964425	2	7e-16		34.89545133884942	1316042359
94	rs10928520		134846613	2	2e-13		29.240459028362647	1314924547
95	rs6544495		41910220	2	6e-09		18.931506367718356	1221988154
96	rs140423469		117481369	2	4e-08		17.034386382832476	1297559303
97	rs143757929		62744832	2	1e-08		18.420680743952367	1242822766
98	rs9810233	3q13.11	105292046	3	7e-07	NA - ALCAM	14.172185501903007	1669353672
99	rs950146	3p22.2	36638607	3	4e-06	NBPF21P - RN7SKP227	12.429216196844383	1600700233
100	rs9850225	3p12.2	80816613	3	5e-06	LINC02050 - NA	12.206072645530174	1644878239
101	rs11705721	3p14.3	58414687	3	9e-06	PXK	11.618285980628055	1622476313
102	rs73018809	3p25.1	13329174	3	2e-07	NUP210	15.424948470398375	1577390800
103	rs28641753	3q13.11	104256574	3	2e-07		15.424948470398375	1668318200
104	rs113010081	3p21.31	46415921	3	5e-08	CCRL2 - LINC02009	16.811242831518264	1610477547
105	rs111821448	3q13.2	111874722	3	5e-06	PHLDB2	12.206072645530174	1675936348
106	rs553806124		27921000	3	1e-08		18.420680743952367	1591982626
107	rs144520550		114257954	3	5e-08		16.811242831518264	1678319580
108	rs62251992		57259774	3	4e-16		35.45506712678484	1621321400
109	rs36146296		57373867	3	6e-17		37.35218711167072	1621435493
110	rs4688508		64734347	3	1e-16		36.841361487904734	1628795973
111	rs11130569		57041866	3	4e-09		19.33697147582652	1621103492
112	rs60701868		57295247	3	2e-08		17.72753356339242	1621356873
113	rs9870517		64722924	3	6e-09		18.931506367718356	1628784550
114	rs1480207964		57269656	3	4e-09		19.33697147582652	1621331282
115	rs11725853	4q34.1	174721548	4	8e-07	GLRA3	14.038654109278484	1853041128
116	rs7679475	4q27	121392885	4	4e-10	QRFPR - TUBB4BP5	21.639556568820566	1799712465
117	rs11723864	4q34.1	173653255	4	7e-07	HAND2-AS1	14.172185501903007	1851972835
118	rs4505848	4q27	122211337	4	5e-13	KIAA1109	28.324168296488494	1800530917
119	rs10517086	4p15.2	26083889	4	5e-10	LINC02357	21.416413017506358	1704403469
120	rs17388568	4q27	122408207	4	6e-06	ADAD1	12.02375108873622	1800727787
